x,y,z_s,snr,image_positions,magnifications
3.120289855072464,2.4768115942028985,1.65,0.5563856202179075,"[(3.589178716901351, 1.8773296238567185)]",[1.6504101971789376]
3.091304347826087,3.2594202898550724,2.05,3.350673557690958,"[(2.5216274720631344, 3.0002933584452207), (3.743664629521799, 3.291588293994912)]","[-0.36106509568928313, 2.8714668405359234]"
1.7000000000000002,2.7956521739130435,2.05,0.8660591451563494,"[(1.0521552274786643, 2.7409709497567634)]",[1.7123545765268262]
2.076811594202898,3.781159420289855,1.8,0.3298978039358229,"[(1.5711517972848725, 4.317198567052909)]",[1.5270556158667148]
2.6565217391304348,3.085507246376812,1.8,0.6135623992681546,"[(2.057029746835626, 3.5088741283860405), (2.2783941510382153, 2.56162156670518), (3.0483922802964054, 2.467357247504594), (3.158994301462341, 3.489894562648181)]","[4.1950400152697, -4.158090117071762, 5.268952976670348, -2.3419812647867158]"
3.381159420289855,4.013043478260869,1.8,0.8591183775931525,"[(3.7218086754548203, 4.564659422680264)]",[1.8855754705982697]
2.2797101449275363,3.781159420289855,2.15,1.5802495712171194,"[(1.869397815791696, 4.339568789706372)]",[1.5729838766187296]
2.221739130434783,3.810144927536232,1.95,1.1231983080053782,"[(1.7838079374379516, 4.375310860468434)]",[1.5536739588256194]
3.468115942028985,3.926086956521739,1.95,0.4883013085136009,"[(3.884218939345173, 4.394494623335349)]",[1.899702998771419]
2.540579710144928,3.288405797101449,1.95,21.15392221012437,"[(2.054066356530636, 3.814360179566872), (2.9464900237621743, 2.701892806613969)]","[2.363262711666908, -4.784737957525837]"
3.6710144927536232,2.7956521739130435,2.3,0.5990321839495106,"[(4.275667772775414, 2.502896637616581)]",[1.4922675494167412]
3.178260869565218,3.607246376811594,2.45,0.1308086816397312,"[(3.5703058788872006, 4.044085651956913)]",[2.5287892118127693]
1.9608695652173915,3.984057971014492,2.2,0.577395286608422,"[(1.50330852004987, 4.500957149050559)]",[1.4095298471365463]
3.6420289855072463,2.998550724637681,2.2,1.2363018251986375,"[(4.281112342751436, 2.7980850603423555)]",[1.5756235463801291]
2.395652173913044,3.317391304347826,2.25,2.159950128642828,"[(1.868928164780321, 3.7562254742553347), (2.9695078029551967, 2.9491086273430525)]","[2.012541553200249, -1.3321485002455358]"
3.149275362318841,3.636231884057971,2.25,0.515037480159194,"[(3.500902863098229, 4.124583128814839)]",[2.536684630141752]
3.149275362318841,2.7086956521739127,1.85,0.5643383217066853,"[(3.6862310070495488, 2.2148635201538545)]",[1.745710853008981]
2.685507246376812,2.273913043478261,1.85,1.8172267529164123,"[(2.8349544392842625, 1.5900404691266385)]",[1.7374107775967653]
2.33768115942029,4.1,1.85,0.5465288544271489,"[(2.002438889114777, 4.737707249146031)]",[1.4952354027252395]
3.091304347826087,2.534782608695652,1.85,3.014047741745248,"[(3.545042947900044, 1.9650262117547745)]",[1.6714675173018683]
2.0478260869565217,2.1,1.85,2.224615658453458,"[(1.7606970809981604, 1.5214806812103157)]",[1.8060102112418828]
2.7144927536231886,4.071014492753623,0.7,1.3540575982218903,"[(2.171403052824238, 5.76564846072729), (2.5286238034887827, 2.396605680304136)]","[2.3519129943222796, -0.64620706536581]"
2.8304347826086955,3.4623188405797096,0.9,0.9633089419502624,"[(2.3534777393902235, 2.5304270267402327), (2.6361375274702104, 4.575043590003942)]","[-1.0012805953775006, 3.5539910264762935]"
3.61304347826087,3.6652173913043473,0.55,0.7757416658874251,[],[]
3.091304347826087,3.984057971014492,0.55,0.3848439698884598,[],[]
2.8594202898550725,3.839130434782608,0.85,1.86493892259098,"[(2.552187107250261, 2.7305993573828897), (2.699542277878168, 5.0400627040621675)]","[-0.41712692353919184, 2.4940196581496243]"
2.018840579710145,2.273913043478261,0.85,1.9215846747962928,"[(1.3910669435128955, 1.3456488311691197)]",[3.0279936148573343]
2.6565217391304348,3.955072463768116,0.75,1.955549420794584,"[(2.1271192486794517, 5.395102685188325), (2.5928001226713557, 2.498052054548471)]","[2.2597747536828146, -0.6599359055839887]"
1.728985507246377,3.317391304347826,0.75,1.7110576771981416,"[(0.333232458003647, 3.989081484720825)]",[2.0306494925389087]
2.1347826086956525,3.5782608695652174,1.2,0.8149929569126838,"[(1.462472437163744, 4.185875116780586)]",[1.7473357002099368]
1.7579710144927538,3.810144927536232,0.65,0.384643965357409,"[(0.03952356547758006, 5.286860700647395), (3.623487807728332, 2.5412477369157807)]","[2.0451860870803293, -1.5238787944087582]"
1.844927536231884,2.360869565217391,0.65,2.764735995793181,"[(0.16306923799577225, 1.2908902980558938), (3.3299380119823785, 3.674453757416155)]","[5.969899995516024, -0.4795118984372815]"
2.6565217391304348,2.998550724637681,1.1,10.721768826159684,"[(1.761029966285262, 3.280573739717161), (1.8897678975028533, 2.6164592245280773), (3.0950953290377266, 2.1499741077811545), (3.1646494442766215, 3.6775560438339903)]","[7.173470360214414, -6.852405572230607, 4.148832863370868, -1.967414857589791]"
1.844927536231884,2.9115942028985504,1.1,0.892730152957464,"[(0.9369558290869052, 2.9634657973062275)]",[2.058591970072224]
1.728985507246377,2.4478260869565216,0.8,0.4549688482215158,"[(0.5910381376182201, 1.9454750685349398)]",[2.8247809394676175]
2.540579710144928,3.317391304347826,0.8,1.1033077827836897,"[(1.6062542289554762, 4.359575992786634), (2.612662560928161, 2.004218512167971)]","[2.8726025367529986, -5.0692092062567955]"
2.105797101449276,3.984057971014492,0.8,0.9368408936483554,"[(1.2388525832124802, 5.080216257800442), (2.8607064767988755, 2.8154004272811615)]","[1.7924130814879564, -0.41886765955066535]"
3.091304347826087,4.042028985507246,1.45,4.469292222428281,"[(3.226666762550851, 4.766470009135275)]",[1.917953506246485]
3.294202898550725,2.563768115942029,1.3,0.7965917934513453,"[(3.9216974863852134, 1.9751426876614755)]",[1.6687455400146085]
1.7579710144927538,2.940579710144928,1.3,0.9687294008835552,"[(0.9496348655443352, 3.005388003496262)]",[1.8414000761484641]
1.7000000000000002,2.592753623188406,1.65,2.0171633715881963,"[(1.0452005678754173, 2.3909875176732194)]",[1.835059755071017]
1.989855072463768,2.7376811594202897,1.15,4.606898951097173,"[(1.1669534042917773, 2.5415244797083414)]",[2.5139177246857622]
3.3521739130434787,3.694202898550724,1.15,1.5064847124770946,"[(3.9793568082997464, 4.2190458841410985)]",[2.7760652209519154]
2.5695652173913044,2.882608695652174,1.15,1.7224992845943632,"[(2.6368981226145825, 2.0045486227537994), (3.0504490147169823, 3.5462159933927824)]","[4.867803557193813, -1.1193881235707406]"
3.4391304347826086,3.839130434782608,1.5,0.4178763735137993,"[(3.931127178663715, 4.331127178663714)]",[2.1238971958573374]
2.801449275362319,3.810144927536232,1.5,14.133726844303052,"[(2.7037993570268113, 4.559135724677652)]",[1.991659669735214]
3.3521739130434787,3.0565217391304347,1.55,3.1284878497046176,"[(4.0761790478901485, 2.822028061435239)]",[1.9064468496198455]
2.076811594202898,3.288405797101449,1.55,0.6418657017990048,"[(1.3892014080493729, 3.6426373194741375)]",[1.802924294102548]
2.2797101449275363,3.607246376811594,1.6,1.089073037291235,"[(1.7656742856304053, 4.183859071596119), (2.7690882608233056, 3.010744675264141)]","[1.7194812691748549, -0.25523426934587345]"
2.018840579710145,2.940579710144928,1.6,0.8513838655188444,"[(1.2947592322124766, 2.972331911344682)]",[2.0713097740069704]
3.584057971014493,3.114492753623188,1.8,0.8295968728968792,"[(4.275026577642105, 2.966531840841211)]",[1.6993994538552935]
1.873913043478261,2.8246376811594205,1.35,0.9979932766676518,"[(1.099196413031334, 2.7671779486933437)]",[2.0389091911186368]
2.511594202898551,2.2159420289855074,1.35,1.1343158349054656,"[(2.544493859954439, 1.4276349383243465)]",[1.8999640107218685]
2.453623188405797,2.3318840579710147,1.35,0.3016810988107773,"[(2.4143267931409245, 1.5536027127100942)]",[2.1058921637543415]
1.7000000000000002,3.0275362318840577,1.7,0.5794849148673209,"[(0.9913876217418839, 3.1362249084815956)]",[1.6628837681664448]
1.9318840579710144,2.157971014492753,1.7,0.71302000691727,"[(1.5466283855864214, 1.6213851305890399)]",[1.8613175342092656]
2.9173913043478263,2.4478260869565216,1.85,3.3185660876625467,"[(3.254597648484292, 1.8109613958448927)]",[1.7219916276492861]
2.221739130434783,3.201449275362319,1.75,0.0886495069488391,"[(1.5583141348159684, 3.5119610105031667)]",[1.9982545585264688]
3.0043478260869567,4.013043478260869,1.75,0.6296370791768651,"[(3.0732501668918473, 4.6947697029228355)]",[1.8348953871995308]
1.7579710144927538,2.998550724637681,2.25,4.985169225600861,"[(1.112336832912066, 3.074150826436916)]",[1.6565831356633027]
1.844927536231884,2.360869565217391,2.35,1.128932262716042,"[(1.3790868681587554, 1.9924220135559991)]",[1.834153946347013]
3.2072463768115944,2.4478260869565216,2.4,1.135660038057781,"[(3.643596988455503, 1.9338580753553558)]",[1.5369306032965018]
1.728985507246377,2.4768115942028985,2.2,0.4796908204618251,"[(1.1784317473375874, 2.2100484136488854)]",[1.7806369528965167]
3.06231884057971,2.592753623188406,2.2,1.9549441831565948,"[(3.49740210104386, 2.0576806805638475)]",[1.6941435693998868]
2.8594202898550725,3.4043478260869566,1.9,0.3035792513434393,"[(2.535407786591665, 2.8564350723042713), (2.926826992130715, 4.065858451066815)]","[-0.557949918704147, 3.698532924548422]"
2.018840579710145,4.013043478260869,1.9,0.9236605754340133,"[(1.5608314555004563, 4.571076847480177)]",[1.4336522389356305]
2.97536231884058,2.7086956521739127,2.45,0.5308399729235721,"[(2.6030421787074767, 3.2628960301557273), (3.3988409665205195, 2.1889702776253963)]","[-0.5578148253090867, 1.8363108566494508]"
3.381159420289855,3.0275362318840577,2.45,2.739287602638889,"[(3.999661530167634, 2.8191829133282242)]",[1.743849769880427]
3.5550724637681164,2.4768115942028985,2.5,1.0677580839152296,"[(4.073931508693435, 2.0575909800664927)]",[1.4305223791106674]
2.801449275362319,2.7086956521739127,2.5,1.6308020415421065,"[(2.6884112541750453, 3.336446816292795), (3.1022427381914293, 2.1222138498962475)]","[-0.6623474546581022, 2.040846003365243]"
3.091304347826087,4.071014492753623,2.5,4.298355841552988,"[(3.2077241830818104, 4.667284105223729)]",[1.7251987969931353]
1.8159420289855075,2.65072463768116,0.8,1.2615776454731251,"[(0.5673743279158037, 2.4033476340031954)]",[2.8323988798944053]
1.9028985507246376,2.2449275362318843,0.9,0.2355032280035865,"[(1.2205478829617364, 1.4664937619935134)]",[2.6582883234443324]
2.6275362318840583,3.984057971014492,1.45,0.2930410388845119,"[(2.395553726324424, 4.73382804690437)]",[1.7122408216552694]
1.9028985507246376,3.201449275362319,1.5,0.7785771660256703,"[(1.1723409787560486, 3.4612382228491647)]",[1.742595336964577]
2.0478260869565217,3.3463768115942027,1.6,3.217006274113264,"[(1.3824791500497295, 3.7238247023061035)]",[1.736387586277385]
1.9028985507246376,3.2594202898550724,0.85,0.4759551088391698,"[(0.7638431723425293, 3.7858199122527134), (3.103828048494614, 3.1000968871671875)]","[2.03437723834823, -0.5279317299103826]"
2.192753623188406,3.810144927536232,1.65,0.2941022785068369,"[(1.7150562195679673, 4.403094458696971)]",[1.5703642014454593]
2.424637681159421,2.853623188405797,1.75,0.3366027221574109,"[(1.8907550976924572, 2.4771032658757086), (2.90598327650096, 3.2919604778324913)]","[6.238253686799628, -0.4829228748202244]"
1.7579710144927538,3.897101449275362,1.85,0.5958722732573163,"[(1.2137586617055285, 4.382692014554407)]",[1.4046745424402467]
3.6710144927536232,2.5057971014492755,1.25,0.2944389531293253,"[(4.381934366958662, 1.9891119158628445)]",[1.518853943560116]
2.7724637681159425,2.7666666666666666,1.25,0.4123595607098999,"[(2.7569039215637816, 3.5908181503788676), (3.186623627424513, 1.999781156471692)]","[-1.4260377461771665, 2.435616428606135]"
3.294202898550725,4.013043478260869,1.95,0.450703277001966,"[(3.5728270914288447, 4.583185083383422)]",[1.8692513046025905]
1.9028985507246376,3.317391304347826,2.2,0.8954166481270786,"[(1.2869118018341725, 3.6030311448748855)]",[1.6019692007145012]
2.5985507246376813,3.897101449275362,2.0,3.377979559681168,"[(2.3726152537586818, 4.55064833115903)]",[1.6775157279794444]
3.265217391304348,2.621739130434783,1.9,0.6954625574227251,"[(3.8024625864535158, 2.1384449941707087)]",[1.6174914460283054]
2.1347826086956525,3.317391304347826,1.9,0.1546484314054564,"[(1.5148971446528294, 3.675654859536343)]",[1.7806504249089308]
2.453623188405797,2.2449275362318843,2.5,0.6863618256115098,"[(2.418308464314297, 1.627801070675283)]",[1.7805980758447144]
2.801449275362319,3.114492753623188,2.45,1.470760735954969,"[(2.2779736590664768, 2.835888558106372), (3.387426513850964, 2.804204538425663)]","[-1.9425681934702055, 3.6271204457316863]"
2.2797101449275363,3.085507246376812,2.15,2.7560125856163147,"[(1.6331302655363877, 3.2684734733386627), (2.9157308128370456, 3.150800135617769)]","[2.251915493234673, -0.46212555851203946]"
2.6275362318840583,2.360869565217391,2.15,0.8532188528442735,"[(2.726435183041009, 1.7069376809168386)]",[1.8236439855900575]
3.3521739130434787,3.37536231884058,0.55,2.092928631581449,[],[]
2.97536231884058,2.9695652173913043,0.55,0.6860829103206738,[],[]
3.5260869565217394,3.0275362318840577,0.55,1.442422711154581,[],[]
1.7000000000000002,3.5492753623188404,0.55,0.095723771677495,[],[]
2.33768115942029,3.4623188405797096,0.55,0.2892155145186689,[],[]
2.8594202898550725,3.172463768115942,0.55,0.7367697389296978,[],[]
1.7869565217391306,3.433333333333333,0.55,8.832300165220584,[],[]
2.453623188405797,2.1869565217391305,0.55,4.164694601774625,"[(5.0212901309325915, 6.54331240994273)]",[-1.7547563448666115]
2.018840579710145,2.2449275362318843,0.55,0.4480511708634886,"[(5.350305128749869, 5.9997873609797505)]",[-1.437430777609026]
3.61304347826087,2.3318840579710147,0.55,0.5423710234865761,[],[]
2.7434782608695656,2.389855072463768,0.55,3.7864840880292414,[],[]
